"","Life_Ladder","Log_GDPpC","Social_support","Life_expectancy","Freedom_of_choice","Generosity","Corruption","Positive_affect","Negative_affect","Conf_in_gov","GINI_index","GINI_indx_income","Happiness_score","Country"
"1",2.69430327415466,7.49458789825439,0.507515847682953,52.5999984741211,0.373535543680191,-0.0848878771066666,0.92760568857193,0.42412531375885,0.404904395341873,0.364666402339935,0.36275,0.290681332349777,3.20329999923706,"Afghanistan"
"2",5.00440263748169,9.41239929199219,0.683591663837433,68.6999969482422,0.824212312698364,0.0053849508985877,0.899129390716553,0.713299572467804,0.318996727466583,0.435337960720062,0.30325,0.456174194812775,4.71859979629517,"Albania"
"3",5.04308605194092,9.55795192718506,0.798651337623596,65.9000015258789,0.583380579948425,-0.172413006424904,0.758704125881195,0.591042935848236,0.292945563793182,0.206626191735268,0.276,0.66787189245224,5.21129989624023,"Algeria"
"4",5.79279661178589,9.80997180938721,0.89991158246994,68.8000030517578,0.845894694328308,-0.206936627626419,0.855255246162415,0.820309698581696,0.320502072572708,0.261352270841599,0.4609375,0.405355930328369,6.08629989624023,"Argentina"
"5",5.06244850158691,9.11942386627197,0.81444901227951,66.9000015258789,0.80764365196228,-0.149108693003654,0.676826357841492,0.581487715244293,0.454840272665024,0.670827627182007,0.31925,0.406403481960297,4.55940008163452,"Armenia"
"6",7.17699337005615,10.7210206985474,0.940137267112732,73.5999984741211,0.916028141975403,0.137795403599739,0.404647499322891,0.759018838405609,0.187456369400024,0.46883687376976,0.34275,0.429814219474792,7.22800016403198,"Australia"
"7",7.3960018157959,10.7418928146362,0.911668121814728,73,0.904111981391907,0.0515523329377174,0.52306056022644,0.752350389957428,0.226058796048164,0.488678723573685,0.302692307692308,0.299504399299622,7.24599981307983,"Austria"
"8",5.16799545288086,9.67801380157471,0.781229913234711,65.5,0.772449254989624,-0.251795291900635,0.56120628118515,0.592575371265411,0.191391661763191,0.83437192440033,0.211,0.260409832000732,5.2076997756958,"Azerbaijan"
"9",4.49921703338623,8.22074604034424,0.705556035041809,64.3000030517578,0.901470839977264,-0.0380083359777927,0.701421201229095,0.541344702243805,0.361237794160843,0.831693112850189,0.32775,0.367609113454819,4.45580005645752,"Bangladesh"
"10",5.23376989364624,9.7787389755249,0.904569268226624,66.0999984741211,0.64360237121582,-0.181864842772484,0.718455493450165,0.450332850217819,0.235728621482849,0.421278685331345,0.281294117647059,0.293443888425827,5.32250022888184,"Belarus"
"11",6.89217185974121,10.6724452972412,0.929815530776978,72,0.808386623859406,-0.127278342843056,0.630411803722382,0.749562740325928,0.250297337770462,0.441944539546967,0.284307692307692,0.299524575471878,6.9229998588562,"Belgium"
"12",5.81982707977295,7.66390705108643,0.5035440325737,54.2999992370605,0.713264048099518,0.0246611647307873,0.746510744094849,0.646655142307281,0.467871814966202,0.639219760894775,0.432666666666667,0.606243252754211,4.88320016860962,"Benin"
"13",5.91573429107666,8.86053085327148,0.827159464359283,63.5999984741211,0.863246858119965,-0.0875683501362801,0.786044597625732,0.741972625255585,0.387468874454498,0.399588227272034,0.5216,0.450113028287888,5.77930021286011,"Bolivia"
"14",5.88740110397339,9.40272617340088,0.835889577865601,67.8000030517578,0.658846437931061,0.124626904726028,0.9128577709198,0.642939507961273,0.277365058660507,0.254097163677216,0.3256,0.385817497968674,5.38649988174438,"Bosnia and Herzegovina"
"15",3.46136569976807,9.68022632598877,0.794936001300812,58.9000015258789,0.817621111869812,-0.259084016084671,0.806945443153381,0.729643225669861,0.267083704471588,0.718788146972656,0.626,0.616160452365875,3.48839998245239,"Botswana"
"16",6.19092178344727,9.55793285369873,0.881505250930786,66.4000015258789,0.750609040260315,-0.126326516270638,0.763251304626465,0.749727845191956,0.349656254053116,0.168186649680138,0.547285714285714,0.420397132635117,6.29979991912842,"Brazil"
"17",5.09881353378296,9.87321853637695,0.923853278160095,66.8000030517578,0.724335908889771,-0.17910960316658,0.952014446258545,0.639021873474121,0.189090982079506,0.218995898962021,0.354666666666667,0.341206520795822,5.01100015640259,"Bulgaria"
"18",4.92723608016968,7.47052001953125,0.664859473705292,53.9000015258789,0.720743477344513,-0.00438124081119895,0.75739860534668,0.710883557796478,0.342865526676178,0.622255086898804,0.394666666666667,0.605102121829987,4.58680009841919,"Burkina Faso"
"19",3.77528309822083,6.5410327911377,0.484715223312378,53.4000015258789,0.646398603916168,-0.0193341728299856,0.598607659339905,0.66644150018692,0.362766593694687,0.42085987329483,0.36,0.68081271648407,3.77530002593994,"Burundi"
"20",5.1218376159668,8.25335216522217,0.794605374336243,61.5999984741211,0.958304822444916,0.03378676623106,0.703439772129059,0.8445925116539,0.414345800876617,0.747923851013184,0.408166666666667,0.603439152240753,4.69980001449585,"Cambodia"
"21",5.25073766708374,8.13347053527832,0.676825225353241,52.7000007629395,0.816304981708527,0.0325069166719913,0.884441614151001,0.642436504364014,0.355642408132553,0.645226299762726,0.438333333333333,0.521751046180725,5.04370021820068,"Cameroon"
"22",7.17549657821655,10.7012481689453,0.92271876335144,73.5999984741211,0.945782899856567,0.0979661270976067,0.371740847826004,0.823668658733368,0.259397655725479,0.61046689748764,0.3368,0.46544224023819,7.27810001373291,"Canada"
"23",4.48632526397705,7.47257471084595,0.577253580093384,48.2000007629395,0.650354564189911,0.0113400863483548,0.762879312038422,0.552737295627594,0.543836236000061,0.577436029911041,0.4155,0.607654750347137,4.34950017929077,"Chad"
